Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
16:27:35,38.0,1.791,1.050,1.031
16:27:36,38.0,1.790,1.049,1.036
16:27:37,38.1,1.792,1.028,1.055
16:27:38,37.3,1.789,1.031,1.055
16:27:39,38.4,1.792,1.022,1.040
16:27:40,38.3,1.792,1.044,1.047
16:27:41,38.3,1.792,1.048,1.035
16:27:42,37.9,1.791,1.005,1.020
16:27:43,38.1,1.789,1.031,1.010
16:27:44,38.5,1.793,1.028,1.014
16:27:45,38.9,1.792,1.044,1.022
16:27:46,38.4,1.792,1.033,1.007
16:27:47,38.4,1.792,1.047,1.046
16:27:48,38.0,1.791,1.026,1.043
16:27:49,38.4,1.791,1.017,1.023
16:27:50,37.9,1.792,1.032,1.039
16:27:52,38.0,1.792,1.011,1.021
16:27:53,37.7,1.791,1.014,1.027
16:27:54,37.8,1.793,1.034,1.048
16:27:55,37.9,1.790,1.011,1.023
16:27:56,38.3,1.793,1.043,1.021
16:27:57,38.1,1.790,1.050,1.060
16:27:58,38.0,1.791,1.001,1.014
16:27:59,38.1,1.791,1.044,1.040
16:28:00,37.7,1.792,1.039,1.059
16:28:01,38.4,1.792,1.015,1.007
16:28:02,37.8,1.790,1.013,1.027
16:28:03,38.0,1.789,1.057,1.042
16:28:04,38.1,1.791,1.039,1.042
16:28:05,37.8,1.792,1.016,1.024
