# E# E (MeV/u), F# 1-6 (mm FWHM) I# 1-15 (Ions/s) for a total of  255 12C Energies ----- LIBC Version 1.3 C12 V8
  1  88.83 9.8 10.7 12.1 13.4 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.0e+08 5.0e+08
  2  91.14 9.6 10.6 11.9 13.3 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.0e+08 5.0e+08
  3  93.42 9.5 10.4 11.8 13.2 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
  4  95.67 9.3 10.3 11.7 13.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
  5  97.88 9.2 10.1 11.6 13.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
  6 100.07 9.0 10.0 11.5 12.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
  7 102.22 8.9  9.9 11.4 12.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
  8 104.35 8.8  9.8 11.3 12.7 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
  9 106.45 8.6  9.7 11.2 12.6 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 10 108.53 8.5  9.5 11.1 12.5 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 11 110.58 8.4  9.4 11.0 12.4 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 12 112.60 8.3  9.3 10.9 12.3 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 13 114.60 8.2  9.2 10.8 12.3 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 14 116.57 8.1  9.1 10.7 12.2 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 15 118.52 8.0  9.1 10.6 12.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 16 120.45 7.9  9.0 10.6 12.1 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 17 122.36 7.8  8.9 10.5 12.0 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 18 124.25 7.7  8.8 10.4 11.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 19 126.11 7.6  8.7 10.4 11.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 20 127.96 7.5  8.6 10.3 11.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 21 129.79 7.4  8.6 10.2 11.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 22 131.60 7.3  8.5 10.2 11.7 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 23 133.39 7.2  8.4 10.1 11.7 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
