Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-08-03 11:52:34,37.4,1.794,1.019,0.997
2024-08-03 11:52:39,36.9,1.794,0.996,1.009
2024-08-03 11:52:43,36.7,1.794,1.031,1.015
2024-08-03 11:52:48,37.4,1.793,1.053,1.041
2024-08-03 11:52:52,37.5,1.794,1.022,1.037
2024-08-03 11:52:57,36.9,1.794,1.042,1.023
2024-08-03 11:53:01,36.9,1.794,1.014,1.027
2024-08-03 11:53:05,37.2,1.794,1.004,1.017
2024-08-03 11:53:10,36.7,1.794,1.011,1.002
2024-08-03 11:53:14,37.2,1.794,1.012,1.022
2024-08-03 11:53:19,37.0,1.795,1.022,1.030
2024-08-03 11:53:23,37.3,1.794,1.027,0.997
2024-08-03 11:53:27,36.8,1.795,1.039,1.023
2024-08-03 11:53:32,36.9,1.794,1.054,1.048
2024-08-03 11:53:36,36.8,1.792,1.020,1.028
2024-08-03 11:53:41,37.0,1.794,0.995,1.005
2024-08-03 11:53:45,36.8,1.794,1.019,1.028
2024-08-03 11:53:50,36.9,1.794,1.039,1.023
2024-08-03 11:53:54,37.8,1.794,1.055,1.034
2024-08-03 11:53:58,36.9,1.793,1.044,1.014
2024-08-03 11:54:03,37.0,1.793,1.048,1.040
2024-08-03 11:54:07,37.3,1.794,1.032,0.994
2024-08-03 11:54:12,36.9,1.794,1.039,1.047
2024-08-03 11:54:16,37.9,1.794,1.029,0.996
2024-08-03 11:54:20,37.5,1.795,1.031,1.046
2024-08-03 11:54:25,37.3,1.795,1.046,1.040
2024-08-03 11:54:29,37.0,1.794,1.047,1.024
2024-08-03 11:54:34,37.0,1.795,1.032,1.052
2024-08-03 11:54:38,37.2,1.792,1.052,1.034
2024-08-03 11:54:43,37.3,1.793,1.028,1.052
2024-08-03 11:54:47,37.4,1.793,1.006,1.021
2024-08-03 11:54:51,37.5,1.793,1.047,1.039
2024-08-03 11:54:56,37.4,1.794,1.027,1.050
2024-08-03 11:55:00,37.4,1.793,1.017,1.033
2024-08-03 11:55:05,37.2,1.794,1.026,1.050
2024-08-03 11:55:09,37.4,1.792,0.994,1.005
2024-08-03 11:55:14,36.7,1.794,1.018,1.000
2024-08-03 11:55:18,37.0,1.794,0.995,1.000
2024-08-03 11:55:22,37.7,1.794,1.012,1.000
2024-08-03 11:55:27,37.2,1.794,1.017,1.033
2024-08-03 11:55:31,37.4,1.794,1.051,1.043
2024-08-03 11:55:36,37.3,1.794,1.044,1.036
2024-08-03 11:55:40,37.2,1.793,1.031,1.055
2024-08-03 11:55:44,38.3,1.794,1.050,1.051
2024-08-03 11:55:49,37.9,1.792,1.035,1.022
2024-08-03 11:55:53,37.3,1.794,1.047,1.026
2024-08-03 11:55:58,37.2,1.795,1.042,1.035
2024-08-03 11:56:02,37.4,1.793,1.036,1.027
2024-08-03 11:56:06,37.4,1.793,1.002,1.016
2024-08-03 11:56:11,37.8,1.793,1.033,1.055
2024-08-03 11:56:15,37.4,1.792,1.002,1.009
2024-08-03 11:56:20,36.8,1.792,1.032,1.047
2024-08-03 11:56:24,37.4,1.794,1.016,0.999
2024-08-03 11:56:29,37.2,1.796,1.003,1.019
2024-08-03 11:56:33,37.4,1.795,0.995,1.003
2024-08-03 11:56:37,38.0,1.795,1.028,1.055
2024-08-03 11:56:42,37.2,1.794,1.035,0.997
2024-08-03 11:56:46,37.2,1.795,1.025,1.055
2024-08-03 11:56:51,37.2,1.793,1.000,1.014
2024-08-03 11:56:55,37.4,1.793,1.013,1.024
2024-08-03 11:57:00,37.3,1.792,1.039,0.994
2024-08-03 11:57:04,37.4,1.795,1.050,1.039
2024-08-03 11:57:08,37.3,1.794,1.029,1.051
2024-08-03 11:57:13,37.3,1.795,0.994,1.009
2024-08-03 11:57:17,37.8,1.794,1.012,1.004
2024-08-03 11:57:22,37.5,1.794,0.998,1.005
2024-08-03 11:57:26,37.8,1.794,1.005,1.017
2024-08-03 11:57:30,37.5,1.794,1.042,1.034
2024-08-03 11:57:35,37.5,1.793,1.017,1.026
2024-08-03 11:57:39,37.7,1.794,1.017,1.032
2024-08-03 11:57:44,37.7,1.794,1.019,1.028
2024-08-03 11:57:48,38.0,1.795,1.030,1.052
2024-08-03 11:57:53,37.7,1.794,1.013,1.028
2024-08-03 11:57:57,37.8,1.794,1.012,1.022
2024-08-03 11:58:01,37.3,1.793,1.025,1.052
2024-08-03 11:58:06,38.0,1.795,1.041,1.024
2024-08-03 11:58:10,37.8,1.792,1.017,0.999
2024-08-03 11:58:15,37.8,1.793,1.040,1.034
2024-08-03 11:58:19,37.3,1.797,1.047,1.039
2024-08-03 11:58:23,37.4,1.793,1.010,1.025
2024-08-03 11:58:28,37.4,1.795,1.003,1.016
2024-08-03 11:58:32,37.2,1.794,1.001,1.012
2024-08-03 11:58:37,37.9,1.794,1.040,1.025
2024-08-03 11:58:41,37.8,1.795,1.043,1.047
2024-08-03 11:58:46,37.5,1.794,1.006,1.003
2024-08-03 11:58:50,37.9,1.794,1.000,1.009
2024-08-03 11:58:54,37.8,1.793,1.042,1.010
2024-08-03 11:58:59,37.9,1.793,1.013,1.028
2024-08-03 11:59:03,37.3,1.794,1.016,1.031
2024-08-03 11:59:08,38.0,1.792,1.017,1.035
2024-08-03 11:59:12,37.8,1.795,1.013,0.994
2024-08-03 11:59:17,37.8,1.796,1.001,1.006
2024-08-03 11:59:21,37.9,1.794,1.042,1.040
2024-08-03 11:59:25,37.7,1.794,1.045,1.044
2024-08-03 11:59:30,37.9,1.795,1.050,1.042
2024-08-03 11:59:34,37.7,1.794,1.047,1.036
2024-08-03 11:59:39,37.8,1.794,1.031,0.998
2024-08-03 11:59:43,37.2,1.792,1.007,1.005
2024-08-03 11:59:47,37.2,1.794,1.030,0.994
2024-08-03 11:59:52,37.8,1.794,1.033,1.046
2024-08-03 11:59:56,38.0,1.795,1.007,1.022
2024-08-03 12:00:01,37.9,1.794,1.006,1.019
2024-08-03 12:00:05,37.8,1.794,1.033,1.000
2024-08-03 12:00:10,37.9,1.794,0.992,1.005
2024-08-03 12:00:14,37.8,1.794,1.051,1.044
2024-08-03 12:00:18,38.1,1.794,1.040,0.993
2024-08-03 12:00:23,37.7,1.793,1.043,1.011
2024-08-03 12:00:27,37.8,1.794,1.052,1.052
2024-08-03 12:00:32,38.0,1.794,1.050,1.027
2024-08-03 12:00:36,37.4,1.792,1.038,1.010
2024-08-03 12:00:40,37.4,1.792,1.022,1.038
2024-08-03 12:00:45,38.0,1.793,1.036,1.005
2024-08-03 12:00:49,38.0,1.794,1.051,1.044
2024-08-03 12:00:54,37.9,1.794,1.047,1.040
2024-08-03 12:00:58,37.5,1.792,1.052,1.037
2024-08-03 12:01:03,37.8,1.794,1.022,0.998
2024-08-03 12:01:07,37.3,1.793,1.026,1.043
2024-08-03 12:01:11,38.1,1.792,1.046,1.031
2024-08-03 12:01:16,36.9,1.793,1.031,1.048
2024-08-03 12:01:20,37.4,1.794,1.038,1.038
2024-08-03 12:01:25,37.7,1.795,1.029,1.047
2024-08-03 12:01:29,37.5,1.794,1.042,1.028
2024-08-03 12:01:33,38.4,1.796,1.040,0.993
2024-08-03 12:01:38,37.4,1.794,1.018,1.028
2024-08-03 12:01:42,37.8,1.796,1.008,1.023
2024-08-03 12:01:47,37.9,1.793,1.010,1.015
2024-08-03 12:01:51,37.9,1.794,1.008,1.014
2024-08-03 12:01:56,37.9,1.793,1.047,1.050
2024-08-03 12:02:00,37.8,1.793,1.045,1.034
2024-08-03 12:02:04,38.0,1.796,1.047,1.044
2024-08-03 12:02:09,38.0,1.796,1.025,1.052
2024-08-03 12:02:13,37.9,1.794,1.048,1.030
2024-08-03 12:02:18,38.0,1.797,1.032,1.008
2024-08-03 12:02:22,37.5,1.794,0.997,1.004
2024-08-03 12:02:26,38.0,1.794,1.006,1.022
2024-08-03 12:02:31,37.8,1.794,0.997,1.011
2024-08-03 12:02:35,38.4,1.796,1.052,1.043
2024-08-03 12:02:40,38.1,1.794,1.054,1.047
2024-08-03 12:02:44,37.7,1.795,1.003,1.018
2024-08-03 12:02:49,38.3,1.794,1.013,1.026
2024-08-03 12:02:53,38.1,1.795,1.008,1.003
2024-08-03 12:02:57,38.4,1.794,1.041,1.043
2024-08-03 12:03:02,37.8,1.794,1.035,0.999
2024-08-03 12:03:06,38.5,1.794,0.995,1.008
2024-08-03 12:03:11,37.7,1.793,1.019,1.034
2024-08-03 12:03:15,37.8,1.793,1.041,1.028
2024-08-03 12:03:19,37.5,1.794,1.036,1.020
2024-08-03 12:03:24,38.1,1.795,1.048,1.041
2024-08-03 12:03:28,38.0,1.795,1.014,1.024
2024-08-03 12:03:33,37.5,1.794,1.031,0.999
2024-08-03 12:03:37,38.0,1.794,1.036,1.028
2024-08-03 12:03:42,37.4,1.794,1.013,1.027
2024-08-03 12:03:46,37.9,1.794,1.025,1.035
2024-08-03 12:03:50,37.5,1.792,1.006,1.014
2024-08-03 12:03:55,37.0,1.794,1.025,1.037
2024-08-03 12:03:59,37.8,1.792,1.036,1.041
2024-08-03 12:04:04,37.9,1.794,1.053,1.048
2024-08-03 12:04:08,37.2,1.793,1.033,1.049
2024-08-03 12:04:12,38.3,1.794,1.055,1.049
2024-08-03 12:04:17,38.1,1.794,1.017,0.995
2024-08-03 12:04:21,37.8,1.794,1.041,1.005
2024-08-03 12:04:26,37.3,1.793,1.026,1.002
2024-08-03 12:04:30,37.9,1.793,1.018,0.995
2024-08-03 12:04:35,37.9,1.793,0.996,1.011
2024-08-03 12:04:39,37.5,1.794,1.025,1.033
2024-08-03 12:04:43,37.5,1.793,1.055,1.048
2024-08-03 12:04:48,38.0,1.793,0.998,1.005
2024-08-03 12:04:52,38.3,1.794,1.041,1.036
2024-08-03 12:04:57,37.9,1.794,1.017,1.026
