Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-08-03 10:34:41,36.5,1.7930000000000001,1.055,1.03
2024-08-03 10:34:46,36.2,1.7930000000000001,1.0190000000000001,1.036
2024-08-03 10:34:50,35.8,1.794,1.033,0.997
2024-08-03 10:34:55,36.2,1.7919999999999998,1.05,1.043
2024-08-03 10:34:59,36.1,1.794,1.018,1.028
2024-08-03 10:35:03,36.2,1.795,1.0170000000000001,1.002
2024-08-03 10:35:08,36.8,1.794,1.048,1.04
2024-08-03 10:35:12,36.4,1.794,0.997,1.01
2024-08-03 10:35:17,36.3,1.795,1.0,1.015
2024-08-03 10:35:21,35.7,1.794,1.028,0.992
2024-08-03 10:35:25,36.2,1.794,1.005,1.016
2024-08-03 10:35:30,36.5,1.795,1.003,1.012
2024-08-03 10:35:34,35.9,1.7930000000000001,1.042,1.044
2024-08-03 10:35:39,36.4,1.794,1.01,1.02
2024-08-03 10:35:43,36.5,1.795,1.022,1.033
2024-08-03 10:35:48,35.9,1.7919999999999998,1.0390000000000001,0.993
2024-08-03 10:35:52,36.7,1.795,0.998,1.005
2024-08-03 10:35:56,37.4,1.795,0.998,1.0090000000000001
2024-08-03 10:36:01,36.2,1.7930000000000001,1.0070000000000001,1.015
2024-08-03 10:36:05,36.4,1.795,1.042,0.992
2024-08-03 10:36:10,36.2,1.795,1.014,0.997
2024-08-03 10:36:14,36.4,1.794,1.0290000000000001,0.995
2024-08-03 10:36:19,36.3,1.791,1.0170000000000001,1.023
2024-08-03 10:36:23,36.4,1.794,1.033,0.993
2024-08-03 10:36:27,35.6,1.794,1.008,1.003
2024-08-03 10:36:32,36.9,1.794,1.005,1.0070000000000001
2024-08-03 10:36:36,35.9,1.7919999999999998,1.036,0.991
2024-08-03 10:36:41,36.4,1.7930000000000001,1.014,1.031
2024-08-03 10:36:45,35.9,1.795,1.032,1.044
2024-08-03 10:36:50,36.3,1.795,1.022,1.033
2024-08-03 10:36:54,36.3,1.795,1.022,0.995
2024-08-03 10:36:58,36.2,1.796,1.037,1.006
2024-08-03 10:37:03,36.1,1.794,1.0290000000000001,1.054
2024-08-03 10:37:07,36.7,1.794,1.0390000000000001,0.997
2024-08-03 10:37:12,35.9,1.795,1.022,1.042
2024-08-03 10:37:16,36.4,1.794,1.003,1.0170000000000001
2024-08-03 10:37:21,36.3,1.794,1.018,1.025
2024-08-03 10:37:25,36.7,1.7930000000000001,0.992,1.005
2024-08-03 10:37:29,36.7,1.794,1.033,0.9990000000000001
2024-08-03 10:37:34,36.2,1.794,1.001,1.011
2024-08-03 10:37:38,36.2,1.794,1.028,1.05
2024-08-03 10:37:43,36.2,1.795,1.02,1.033
2024-08-03 10:37:47,35.7,1.7919999999999998,1.021,1.0
2024-08-03 10:37:51,35.6,1.7930000000000001,1.011,1.025
2024-08-03 10:37:56,36.4,1.796,0.995,1.0070000000000001
2024-08-03 10:38:00,35.8,1.7919999999999998,1.031,1.014
2024-08-03 10:38:05,36.3,1.7930000000000001,1.02,1.035
2024-08-03 10:38:09,36.3,1.7930000000000001,1.033,1.048
2024-08-03 10:38:14,36.2,1.795,1.032,0.997
2024-08-03 10:38:18,36.3,1.797,1.047,1.026
2024-08-03 10:38:22,36.7,1.795,1.02,0.997
2024-08-03 10:38:27,36.2,1.794,1.011,1.022
2024-08-03 10:38:31,36.1,1.794,1.052,1.036
2024-08-03 10:38:36,36.2,1.794,1.031,1.041
2024-08-03 10:38:40,35.7,1.794,1.014,1.0290000000000001
2024-08-03 10:38:44,36.1,1.7930000000000001,0.995,1.003
2024-08-03 10:38:49,36.4,1.794,1.046,1.042
2024-08-03 10:38:53,35.9,1.794,1.05,1.041
2024-08-03 10:38:58,36.3,1.794,1.0070000000000001,1.02
2024-08-03 10:39:02,35.8,1.794,1.0,1.013
2024-08-03 10:39:07,36.3,1.796,1.022,1.048
2024-08-03 10:39:11,36.1,1.794,1.04,1.0390000000000001
2024-08-03 10:39:15,35.7,1.795,1.046,1.026
2024-08-03 10:39:20,36.5,1.797,1.025,1.036
2024-08-03 10:39:24,36.3,1.795,1.0170000000000001,1.003
2024-08-03 10:39:29,36.9,1.797,1.01,1.023
2024-08-03 10:39:33,36.3,1.794,1.014,1.0290000000000001
2024-08-03 10:39:38,35.9,1.795,1.032,1.05
2024-08-03 10:39:42,35.7,1.794,1.016,1.031
2024-08-03 10:39:46,36.4,1.797,1.0190000000000001,1.034
2024-08-03 10:39:51,36.1,1.796,1.038,1.031
2024-08-03 10:39:55,36.3,1.794,1.032,1.053
2024-08-03 10:40:00,36.5,1.797,1.04,0.9990000000000001
2024-08-03 10:40:04,35.9,1.794,1.0290000000000001,1.0490000000000002
2024-08-03 10:40:09,36.2,1.794,1.006,1.02
2024-08-03 10:40:13,35.3,1.797,1.013,1.025
2024-08-03 10:40:17,36.7,1.794,1.028,1.053
2024-08-03 10:40:22,36.1,1.794,1.043,1.036
2024-08-03 10:40:26,36.3,1.794,1.038,1.02
2024-08-03 10:40:31,36.3,1.794,1.05,1.044
2024-08-03 10:40:35,35.7,1.794,0.998,1.001
2024-08-03 10:40:39,35.9,1.795,1.044,1.0190000000000001
2024-08-03 10:40:44,36.2,1.794,1.02,1.033
2024-08-03 10:40:48,35.9,1.796,1.012,1.028
2024-08-03 10:40:53,36.7,1.794,1.0090000000000001,1.021
2024-08-03 10:40:57,36.5,1.795,1.011,1.004
2024-08-03 10:41:02,36.4,1.794,1.022,1.033
2024-08-03 10:41:06,36.4,1.794,1.003,1.014
2024-08-03 10:41:10,36.3,1.795,1.0070000000000001,1.013
2024-08-03 10:41:15,36.4,1.794,1.024,1.054
2024-08-03 10:41:19,36.5,1.794,1.016,1.025
2024-08-03 10:41:24,36.1,1.794,1.053,1.045
2024-08-03 10:41:28,36.4,1.794,1.0090000000000001,1.018
2024-08-03 10:41:32,36.3,1.795,1.036,0.995
2024-08-03 10:41:37,36.2,1.794,1.011,1.0
2024-08-03 10:41:41,35.9,1.794,1.047,1.04
2024-08-03 10:41:46,36.3,1.795,1.025,1.036
2024-08-03 10:41:50,36.1,1.794,1.021,1.031
2024-08-03 10:41:55,35.6,1.795,1.043,1.036
2024-08-03 10:41:59,35.9,1.7919999999999998,1.034,1.02
2024-08-03 10:42:03,36.5,1.794,1.0,1.014
2024-08-03 10:42:08,35.9,1.796,1.036,1.047
2024-08-03 10:42:12,36.3,1.7930000000000001,1.0170000000000001,0.998
2024-08-03 10:42:17,35.3,1.794,1.046,1.042
2024-08-03 10:42:21,35.7,1.794,1.001,1.01
2024-08-03 10:42:26,35.9,1.795,1.047,1.023
2024-08-03 10:42:30,35.8,1.794,0.997,1.011
2024-08-03 10:42:34,36.8,1.794,1.015,1.026
2024-08-03 10:42:39,36.1,1.796,1.028,1.05
2024-08-03 10:42:43,36.7,1.797,1.002,1.015
2024-08-03 10:42:48,36.1,1.794,1.026,1.042
2024-08-03 10:42:52,36.2,1.794,1.033,1.043
2024-08-03 10:42:57,36.1,1.7930000000000001,1.013,1.0
2024-08-03 10:43:01,36.2,1.794,1.011,1.025
2024-08-03 10:43:05,35.7,1.795,1.025,1.042
2024-08-03 10:43:10,35.9,1.795,1.002,1.0090000000000001
2024-08-03 10:43:14,35.8,1.794,1.008,1.0170000000000001
2024-08-03 10:43:19,36.8,1.7990000000000002,0.998,1.0090000000000001
2024-08-03 10:43:23,36.3,1.797,1.025,1.04
2024-08-03 10:43:27,35.7,1.795,1.0390000000000001,1.047
2024-08-03 10:43:32,36.2,1.794,1.033,0.993
2024-08-03 10:43:36,35.7,1.794,1.014,1.021
2024-08-03 10:43:41,36.4,1.797,1.042,1.0
2024-08-03 10:43:45,36.2,1.795,1.041,1.04
2024-08-03 10:43:50,36.1,1.794,1.047,1.033
2024-08-03 10:43:54,35.7,1.795,1.015,1.002
2024-08-03 10:43:58,36.4,1.796,1.05,1.046
2024-08-03 10:44:03,35.8,1.796,1.05,1.031
2024-08-03 10:44:07,35.7,1.797,0.998,1.0070000000000001
2024-08-03 10:44:12,35.4,1.7930000000000001,1.048,1.05
2024-08-03 10:44:16,35.7,1.796,0.992,1.003
2024-08-03 10:44:20,35.6,1.794,1.02,1.03
2024-08-03 10:44:25,36.1,1.7930000000000001,1.005,1.003
2024-08-03 10:44:29,36.2,1.797,1.035,1.025
2024-08-03 10:44:34,35.7,1.795,1.006,1.0190000000000001
2024-08-03 10:44:38,36.2,1.794,1.021,1.042
2024-08-03 10:44:43,35.7,1.794,1.022,1.036
2024-08-03 10:44:47,35.8,1.794,1.026,1.0390000000000001
2024-08-03 10:44:51,35.3,1.795,1.016,1.025
2024-08-03 10:44:56,35.8,1.794,1.041,1.03
2024-08-03 10:45:00,36.5,1.794,1.023,1.033
2024-08-03 10:45:05,35.9,1.7930000000000001,1.048,1.0270000000000001
2024-08-03 10:45:09,35.9,1.794,0.995,1.006
2024-08-03 10:45:13,35.4,1.795,1.033,1.02
2024-08-03 10:45:18,36.1,1.795,1.05,1.0390000000000001
2024-08-03 10:45:22,36.1,1.796,1.042,1.042
2024-08-03 10:45:27,35.7,1.796,1.035,1.025
2024-08-03 10:45:31,35.8,1.794,1.031,0.997
2024-08-03 10:45:36,35.8,1.795,1.016,1.032
2024-08-03 10:45:40,35.8,1.796,1.003,1.0090000000000001
2024-08-03 10:45:44,35.7,1.794,1.015,1.003
2024-08-03 10:45:49,35.8,1.794,1.031,0.992
2024-08-03 10:45:53,35.7,1.794,1.031,0.995
2024-08-03 10:45:58,35.8,1.795,1.0,1.016
2024-08-03 10:46:02,36.2,1.7919999999999998,1.0090000000000001,0.996
2024-08-03 10:46:06,36.2,1.797,1.033,1.053
2024-08-03 10:46:11,36.5,1.797,0.998,1.006
2024-08-03 10:46:15,35.8,1.794,1.0090000000000001,1.016
2024-08-03 10:46:20,35.8,1.796,1.031,1.053
2024-08-03 10:46:24,35.7,1.794,1.038,0.998
2024-08-03 10:46:29,35.9,1.794,1.0090000000000001,1.003
2024-08-03 10:46:33,36.4,1.794,1.0090000000000001,1.004
2024-08-03 10:46:37,35.8,1.795,1.02,0.995
2024-08-03 10:46:42,36.3,1.795,1.0170000000000001,1.031
2024-08-03 10:46:46,35.8,1.791,1.022,1.046
2024-08-03 10:46:51,35.8,1.795,1.006,0.998
2024-08-03 10:46:55,34.9,1.794,1.016,1.03
2024-08-03 10:46:59,36.4,1.795,1.003,1.008
2024-08-03 10:47:04,35.8,1.795,1.002,1.0070000000000001
2024-08-03 10:47:08,36.4,1.794,1.003,1.0170000000000001
2024-08-03 10:47:13,35.9,1.796,1.003,1.003
2024-08-03 10:47:17,36.1,1.794,0.996,1.005
2024-08-03 10:47:21,35.8,1.794,1.0090000000000001,0.995
2024-08-03 10:47:26,35.7,1.796,1.044,1.0190000000000001
2024-08-03 10:47:30,35.9,1.795,1.031,0.995
2024-08-03 10:47:35,36.2,1.796,1.024,1.054
2024-08-03 10:47:39,35.2,1.794,1.032,1.044
2024-08-03 10:47:44,35.8,1.795,1.011,1.02
2024-08-03 10:47:48,36.5,1.795,1.026,1.035
2024-08-03 10:47:52,36.7,1.794,1.025,0.9940000000000001
2024-08-03 10:47:57,35.3,1.7930000000000001,0.993,1.003
2024-08-03 10:48:01,36.7,1.794,1.005,1.0170000000000001
2024-08-03 10:48:06,36.2,1.796,1.0290000000000001,0.995
2024-08-03 10:48:10,35.7,1.794,1.044,1.042
2024-08-03 10:48:15,36.1,1.794,1.0170000000000001,1.0
2024-08-03 10:48:19,35.4,1.7919999999999998,0.995,1.0070000000000001
2024-08-03 10:48:23,36.1,1.797,1.002,1.0
2024-08-03 10:48:28,36.1,1.796,1.051,1.038
2024-08-03 10:48:32,36.2,1.795,0.9990000000000001,1.0090000000000001
2024-08-03 10:48:37,35.9,1.795,1.045,1.022
2024-08-03 10:48:41,35.7,1.794,1.02,1.028
2024-08-03 10:48:45,36.4,1.7930000000000001,1.024,1.036
2024-08-03 10:48:50,36.1,1.794,1.0290000000000001,1.055
2024-08-03 10:48:54,36.5,1.794,0.998,1.013
2024-08-03 10:48:59,37.0,1.795,1.041,1.047
2024-08-03 10:49:03,35.9,1.795,1.036,1.0
2024-08-03 10:49:08,36.3,1.794,1.033,1.003
2024-08-03 10:49:12,36.2,1.797,1.011,1.004
2024-08-03 10:49:16,35.8,1.794,0.996,1.01
2024-08-03 10:49:21,35.6,1.794,1.05,1.042
2024-08-03 10:49:25,35.9,1.796,1.0,1.0070000000000001
2024-08-03 10:49:30,36.4,1.795,1.034,1.0270000000000001
2024-08-03 10:49:34,36.3,1.795,1.055,1.031
2024-08-03 10:49:38,36.3,1.795,1.003,1.0090000000000001
2024-08-03 10:49:43,36.3,1.797,1.047,1.026
2024-08-03 10:49:47,36.2,1.795,1.045,1.046
2024-08-03 10:49:52,35.4,1.794,1.023,1.045
2024-08-03 10:49:56,36.2,1.795,1.028,1.052
2024-08-03 10:50:01,35.8,1.795,1.051,1.028
2024-08-03 10:50:05,36.2,1.795,1.0270000000000001,1.044
2024-08-03 10:50:09,35.9,1.794,1.043,1.015
2024-08-03 10:50:14,36.1,1.794,1.0070000000000001,0.995
2024-08-03 10:50:18,36.1,1.795,1.005,1.0190000000000001
2024-08-03 10:50:23,36.1,1.794,1.023,1.031
2024-08-03 10:50:27,35.8,1.795,1.047,1.035
2024-08-03 10:50:32,36.2,1.794,1.034,1.052
2024-08-03 10:50:36,36.1,1.795,1.0390000000000001,1.032
2024-08-03 10:50:40,36.1,1.794,1.026,0.998
2024-08-03 10:50:45,35.9,1.795,1.04,1.046
2024-08-03 10:50:49,35.8,1.7930000000000001,1.024,0.997
2024-08-03 10:50:54,35.9,1.796,0.9940000000000001,1.0070000000000001
2024-08-03 10:50:58,36.2,1.7930000000000001,1.0390000000000001,1.0170000000000001
2024-08-03 10:51:02,36.2,1.794,0.99,1.006
2024-08-03 10:51:07,36.2,1.797,1.043,1.0090000000000001
2024-08-03 10:51:11,35.8,1.794,1.0390000000000001,1.033
2024-08-03 10:51:16,36.7,1.795,1.051,1.04
2024-08-03 10:51:20,35.9,1.795,1.0090000000000001,1.022
2024-08-03 10:51:25,36.3,1.796,0.9990000000000001,1.013
2024-08-03 10:51:29,35.7,1.794,1.053,1.046
2024-08-03 10:51:33,36.4,1.794,1.022,1.03
2024-08-03 10:51:38,36.2,1.794,0.9940000000000001,1.001
2024-08-03 10:51:42,35.6,1.796,1.0090000000000001,1.001
2024-08-03 10:51:47,36.3,1.795,0.993,1.0
2024-08-03 10:51:51,36.1,1.794,1.0170000000000001,1.003
2024-08-03 10:51:56,36.2,1.797,1.028,0.998
2024-08-03 10:52:00,36.3,1.795,1.0,1.0070000000000001
2024-08-03 10:52:04,35.7,1.797,1.041,1.045
2024-08-03 10:52:09,36.3,1.7930000000000001,1.028,1.0490000000000002
2024-08-03 10:52:13,36.1,1.794,1.037,1.044
2024-08-03 10:52:18,35.9,1.797,0.995,1.004
2024-08-03 10:52:22,35.8,1.794,1.042,1.0290000000000001
2024-08-03 10:52:26,35.9,1.7930000000000001,1.021,1.03
2024-08-03 10:52:31,35.4,1.794,1.042,1.043
2024-08-03 10:52:35,35.8,1.795,1.041,1.036
2024-08-03 10:52:40,36.1,1.794,1.038,1.048
2024-08-03 10:52:44,35.6,1.794,1.004,1.015
2024-08-03 10:52:49,36.1,1.794,1.0390000000000001,0.998
2024-08-03 10:52:53,35.3,1.794,1.0390000000000001,1.033
2024-08-03 10:52:57,35.9,1.794,1.02,0.996
2024-08-03 10:53:02,35.9,1.794,1.04,1.028
2024-08-03 10:53:06,36.2,1.794,1.011,1.0
2024-08-03 10:53:11,35.7,1.794,1.001,1.0090000000000001
2024-08-03 10:53:15,35.8,1.795,1.001,1.0090000000000001
2024-08-03 10:53:20,35.9,1.794,1.022,1.04
2024-08-03 10:53:24,35.8,1.795,1.03,1.052
2024-08-03 10:53:28,35.1,1.797,1.028,1.042
2024-08-03 10:53:33,36.1,1.7930000000000001,1.033,0.998
2024-08-03 10:53:37,35.3,1.797,1.003,1.013
2024-08-03 10:53:42,35.7,1.796,1.0,1.015
2024-08-03 10:53:46,35.9,1.797,1.051,1.041
2024-08-03 10:53:50,35.3,1.795,1.034,1.004
2024-08-03 10:53:55,35.9,1.7919999999999998,1.005,1.015
2024-08-03 10:53:59,35.6,1.7919999999999998,1.015,1.0290000000000001
2024-08-03 10:54:04,36.2,1.794,1.033,1.042
2024-08-03 10:54:08,35.4,1.795,1.036,1.025
2024-08-03 10:54:13,34.9,1.795,1.043,1.015
2024-08-03 10:54:17,35.6,1.796,1.037,1.024
2024-08-03 10:54:21,35.4,1.794,1.0270000000000001,0.998
2024-08-03 10:54:26,35.4,1.794,1.042,1.041
2024-08-03 10:54:30,35.9,1.795,1.0170000000000001,1.031
2024-08-03 10:54:35,36.4,1.794,1.0490000000000002,1.025
2024-08-03 10:54:39,35.8,1.795,1.006,1.014
2024-08-03 10:54:43,35.8,1.794,1.025,0.9990000000000001
2024-08-03 10:54:48,35.3,1.794,1.042,0.995
2024-08-03 10:54:52,35.9,1.795,1.048,1.042
2024-08-03 10:54:57,35.2,1.7919999999999998,1.018,1.033
2024-08-03 10:55:01,35.8,1.794,1.031,1.01
2024-08-03 10:55:06,35.7,1.794,1.026,1.002
2024-08-03 10:55:10,35.3,1.794,1.05,1.043
2024-08-03 10:55:14,35.7,1.794,1.0,1.011
2024-08-03 10:55:19,35.9,1.795,1.034,1.054
2024-08-03 10:55:23,35.6,1.795,1.008,1.023
2024-08-03 10:55:28,35.3,1.794,1.0170000000000001,0.998
2024-08-03 10:55:32,35.8,1.796,1.008,1.016
2024-08-03 10:55:37,35.4,1.795,1.023,0.9940000000000001
2024-08-03 10:55:41,35.2,1.7930000000000001,1.014,0.9990000000000001
2024-08-03 10:55:45,35.6,1.794,1.015,1.026
2024-08-03 10:55:50,35.9,1.794,1.003,0.998
2024-08-03 10:55:54,35.9,1.795,1.042,1.036
2024-08-03 10:55:59,35.4,1.794,1.02,1.0390000000000001
2024-08-03 10:56:03,36.1,1.797,1.026,1.003
2024-08-03 10:56:08,35.8,1.795,1.026,0.995
2024-08-03 10:56:12,35.8,1.7930000000000001,1.011,1.025
2024-08-03 10:56:16,36.3,1.795,1.046,1.037
2024-08-03 10:56:21,35.8,1.794,0.998,1.0070000000000001
2024-08-03 10:56:25,35.9,1.795,1.0270000000000001,1.053
2024-08-03 10:56:30,34.9,1.794,1.036,1.011
2024-08-03 10:56:34,35.8,1.795,1.047,1.036
2024-08-03 10:56:39,35.6,1.794,1.003,1.013
2024-08-03 10:56:43,35.1,1.794,1.031,1.0170000000000001
2024-08-03 10:56:47,35.9,1.794,1.042,1.041
2024-08-03 10:56:52,35.3,1.795,1.02,1.03
2024-08-03 10:56:56,35.7,1.795,1.047,1.024
2024-08-03 10:57:01,35.6,1.7930000000000001,1.004,1.0170000000000001
2024-08-03 10:57:05,35.7,1.795,1.047,1.042
2024-08-03 10:57:09,35.6,1.796,1.011,1.028
2024-08-03 10:57:14,35.4,1.794,1.022,1.047
2024-08-03 10:57:18,36.2,1.795,1.036,1.028
2024-08-03 10:57:23,35.7,1.794,1.0270000000000001,1.051
2024-08-03 10:57:27,35.8,1.794,1.042,1.031
2024-08-03 10:57:32,35.7,1.794,1.01,1.0190000000000001
2024-08-03 10:57:36,35.6,1.794,1.0170000000000001,0.997
2024-08-03 10:57:40,35.3,1.794,1.0090000000000001,1.022
2024-08-03 10:57:45,35.7,1.794,1.02,1.0
2024-08-03 10:57:49,35.1,1.794,1.037,1.028
2024-08-03 10:57:54,35.8,1.794,1.025,1.043
2024-08-03 10:57:58,36.1,1.794,1.025,1.036
2024-08-03 10:58:02,35.3,1.796,1.006,1.0090000000000001
2024-08-03 10:58:07,35.9,1.796,1.045,1.02
2024-08-03 10:58:11,35.1,1.794,0.992,0.9990000000000001
2024-08-03 10:58:16,35.2,1.7930000000000001,1.006,1.021
2024-08-03 10:58:20,36.1,1.795,0.995,1.003
2024-08-03 10:58:25,34.9,1.794,1.047,1.042
2024-08-03 10:58:29,35.8,1.794,1.0070000000000001,1.0190000000000001
2024-08-03 10:58:33,35.6,1.796,1.028,1.042
2024-08-03 10:58:38,35.8,1.794,1.025,1.036
2024-08-03 10:58:42,35.6,1.794,1.005,1.018
2024-08-03 10:58:47,35.6,1.796,1.041,1.0090000000000001
2024-08-03 10:58:51,35.7,1.794,0.991,1.005
2024-08-03 10:58:55,35.2,1.7930000000000001,1.0090000000000001,0.9990000000000001
2024-08-03 10:59:00,35.3,1.794,1.015,1.025
2024-08-03 10:59:04,35.8,1.794,1.042,1.046
2024-08-03 10:59:09,36.2,1.7930000000000001,1.05,1.043
2024-08-03 10:59:13,35.3,1.794,1.036,1.042
2024-08-03 10:59:18,35.7,1.794,1.006,1.016
2024-08-03 10:59:22,35.7,1.7930000000000001,1.028,1.003
2024-08-03 10:59:26,35.8,1.794,1.002,1.0170000000000001
2024-08-03 10:59:31,35.4,1.794,1.037,1.031
2024-08-03 10:59:35,36.1,1.7930000000000001,1.044,1.042
2024-08-03 10:59:40,35.7,1.794,1.05,1.042
2024-08-03 10:59:44,35.8,1.7930000000000001,1.0090000000000001,1.0170000000000001
2024-08-03 10:59:49,35.9,1.796,0.995,1.0090000000000001
2024-08-03 10:59:53,35.8,1.7919999999999998,1.032,1.0390000000000001
2024-08-03 10:59:57,35.8,1.794,1.04,0.992
2024-08-03 11:00:02,35.2,1.795,1.0390000000000001,1.03
2024-08-03 11:00:06,35.7,1.794,1.031,1.014
2024-08-03 11:00:11,35.6,1.795,1.042,1.044
2024-08-03 11:00:15,35.2,1.794,1.011,1.025
2024-08-03 11:00:19,36.2,1.7930000000000001,1.03,0.996
2024-08-03 11:00:24,36.1,1.795,1.031,1.044
2024-08-03 11:00:28,35.9,1.794,1.0170000000000001,1.028
