Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT
22:00:00,44.3,1.803,1.012,1.011
22:00:01,44.7,1.805,1.011,1.012
22:00:02,44.7,1.801,1.014,1.011
22:00:03,44,1.804,1.012,1.012
22:00:04,45.3,1.805,1.013,1.015
22:00:05,44.4,1.804,1.012,1.012
22:00:06,44.2,1.802,1.013,1.014
22:00:07,44,1.805,1.011,1.011
22:00:08,43.9,1.803,1.014,1.013
22:00:09,44.5,1.803,1.013,1.012
22:00:10,44.3,1.805,1.011,1.011
22:00:11,44.5,1.802,1.012,1.013
22:00:12,44.8,1.804,1.014,1.014
22:00:13,43.9,1.804,1.013,1.014
22:00:14,44.5,1.804,1.011,1.012
22:00:15,43.9,1.803,1.011,1.013
22:00:16,45,1.803,1.013,1.011
22:00:17,44.5,1.803,1.012,1.013
22:00:18,45.6,1.805,1.011,1.012
22:00:19,44.2,1.802,1.011,1.014
22:00:20,44.3,1.804,1.014,1.014
22:00:21,44.7,1.805,1.014,1.013
22:00:22,44.5,1.803,1.013,1.013
22:00:23,44.3,1.805,1.013,1.014
22:00:24,44.3,1.805,1.014,1.014
22:00:25,44.5,1.802,1.011,1.012
22:00:26,44.7,1.803,1.012,1.013
22:00:27,44,1.802,1.013,1.009
22:00:28,44.8,1.803,1.012,1.012
22:00:29,44.7,1.804,1.011,1.012
22:00:30,44.9,1.803,1.014,1.012
22:00:31,44.4,1.802,1.012,1.012
22:00:32,44.3,1.804,1.014,1.014
22:00:33,45,1.805,1.012,1.013
22:00:34,44.8,1.802,1.01,1.012
22:00:35,44.8,1.801,1.011,1.012
22:00:36,44.4,1.805,1.011,1.014
22:00:37,44.4,1.805,1.013,1.013
22:00:38,44.2,1.802,1.011,1.012
22:00:39,44.8,1.801,1.015,1.012
22:00:40,44.7,1.802,1.012,1.012
22:00:41,44.5,1.803,1.013,1.011
22:00:42,44.3,1.802,1.011,1.012
22:00:43,44.2,1.802,1.013,1.013
22:00:44,45.2,1.803,1.012,1.012
22:00:45,44.3,1.802,1.012,1.012
22:00:46,44.7,1.804,1.012,1.012
22:00:47,44.9,1.802,1.014,1.014
22:00:48,44.2,1.802,1.011,1.012
22:00:49,44.4,1.804,1.012,1.011
22:00:50,45,1.802,1.014,1.012
22:00:51,44.4,1.802,1.014,1.012
22:00:52,44.3,1.805,1.013,1.011
22:00:53,44.7,1.802,1.011,1.015
22:00:54,44.9,1.803,1.014,1.011
22:00:55,44.3,1.803,1.012,1.014
22:00:56,44.7,1.802,1.012,1.011
22:00:57,44.7,1.803,1.014,1.014
22:00:58,43.9,1.803,1.012,1.012
22:00:59,43.7,1.8,1.012,1.013
22:01:00,44,1.803,1.012,1.012
22:01:01,44.2,1.802,1.011,1.012
22:01:02,43.8,1.805,1.014,1.011
22:01:03,43.9,1.804,1.014,1.013
22:01:04,44.8,1.803,1.013,1.013
22:01:05,43.9,1.801,1.011,1.013
22:01:06,44,1.801,1.011,1.011
22:01:07,43.8,1.802,1.011,1.014
22:01:08,44.5,1.804,1.011,1.012
22:01:09,44.2,1.802,1.014,1.013
22:01:10,44.5,1.802,1.011,1.013
22:01:11,44.4,1.804,1.011,1.01
22:01:12,44.3,1.802,1.01,1.011
22:01:13,44.7,1.803,1.01,1.012
22:01:14,44.5,1.803,1.011,1.013
22:01:15,44.7,1.802,1.014,1.011
22:01:16,44.7,1.803,1.012,1.014
22:01:17,43.8,1.803,1.014,1.013
22:01:18,44.3,1.803,1.013,1.013
22:01:19,43.9,1.803,1.012,1.014
22:01:20,43.9,1.803,1.014,1.011
22:01:21,44.8,1.802,1.011,1.011
22:01:22,45,1.802,1.012,1.013
22:01:23,44.4,1.804,1.012,1.011
22:01:24,44.4,1.802,1.014,1.013
22:01:25,43.8,1.803,1.012,1.012
22:01:26,44.3,1.802,1.014,1.014
22:01:27,44.3,1.802,1.011,1.011
22:01:28,44.5,1.802,1.012,1.012
22:01:29,44.4,1.802,1.014,1.011
22:01:30,44.8,1.802,1.014,1.01
22:01:31,44.4,1.803,1.012,1.012
22:01:32,44.3,1.803,1.014,1.01
22:01:33,45,1.803,1.013,1.014
22:01:34,44.4,1.802,1.014,1.012
22:01:35,44,1.802,1.014,1.016
22:01:36,44.7,1.804,1.013,1.012
22:01:37,43.9,1.802,1.013,1.011
22:01:38,44.5,1.802,1.012,1.013
22:01:39,44,1.802,1.011,1.011
22:01:40,45,1.802,1.011,1.012
22:01:41,44.4,1.805,1.011,1.013
22:01:42,44.7,1.804,1.015,1.013
22:01:43,44.8,1.802,1.013,1.013
22:01:44,44.7,1.803,1.014,1.014
22:01:45,44.2,1.803,1.014,1.012
22:01:46,44.4,1.802,1.011,1.013
22:01:47,44.9,1.803,1.011,1.014
22:01:48,43.9,1.802,1.014,1.013
22:01:49,44.4,1.803,1.013,1.013
22:01:50,44.4,1.801,1.014,1.012
22:01:51,44.3,1.802,1.013,1.011
22:01:52,44,1.804,1.013,1.01
22:01:54,44.2,1.802,1.014,1.014
22:01:55,44.2,1.803,1.013,1.014
22:01:56,44.9,1.803,1.013,1.013
22:01:57,43.9,1.802,1.013,1.012
22:01:58,44.9,1.802,1.012,1.013
22:01:59,44.3,1.804,1.012,1.014
22:02:00,43.9,1.805,1.013,1.014
22:02:01,44.9,1.803,1.013,1.014
22:02:02,44.5,1.805,1.012,1.014
22:02:03,43.9,1.803,1.013,1.012
22:02:04,44.7,1.802,1.012,1.014
22:02:05,44.7,1.802,1.011,1.012
22:02:06,44.4,1.803,1.013,1.011
22:02:07,44.4,1.805,1.013,1.012
22:02:08,44.4,1.802,1.012,1.012
22:02:09,43.8,1.803,1.011,1.012
22:02:10,44,1.802,1.013,1.015
22:02:11,44,1.802,1.012,1.012
22:02:12,44.5,1.803,1.014,1.013
22:02:13,44.4,1.805,1.011,1.012
22:02:14,44.7,1.802,1.014,1.014
22:02:15,45.3,1.803,1.013,1.012
22:02:16,44.3,1.805,1.013,1.011
