Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_18:52:06,9.304773807525635,5.0,10.0,20.0,0.0,25.0
2024-07-07_18:52:15,18.616722583770752,5.0,10.0,51.0,0.0,57.0
2024-07-07_18:52:24,27.930373191833496,5.0,10.0,83.0,0.0,89.0
2024-07-07_18:52:34,37.17014527320862,5.0,10.0,115.0,0.0,122.0
2024-07-07_18:52:43,46.4617862701416,5.0,10.0,147.0,0.0,155.0
2024-07-07_18:52:52,55.794867277145386,5.0,10.0,179.0,0.0,187.0
2024-07-07_18:53:02,65.1652319431305,5.0,10.0,211.0,0.0,219.0
2024-07-07_18:53:11,74.55940675735474,5.0,10.0,243.0,0.0,251.0
2024-07-07_18:53:20,83.90430474281311,5.0,10.0,19.0,0.0,27.0
2024-07-07_18:53:30,93.19421720504761,5.0,10.0,51.0,0.0,59.0
2024-07-07_18:53:39,102.56558728218079,5.0,10.0,83.0,0.0,90.0
2024-07-07_18:53:49,113.05465006828308,5.0,10.0,114.0,0.0,122.0
2024-07-07_18:54:00,123.98018050193787,5.0,10.0,146.0,0.0,130.0
2024-07-07_18:54:11,134.87266302108765,5.0,10.0,178.0,0.0,130.0
2024-07-07_18:54:22,145.76392531394958,5.0,10.0,210.0,0.0,130.0
2024-07-07_18:54:33,156.61038064956665,5.0,10.0,243.0,0.0,130.0
2024-07-07_18:54:44,167.60073375701904,5.0,138.0,19.0,0.0,130.0
2024-07-07_18:54:55,178.3655242919922,5.0,10.0,51.0,0.0,130.0
2024-07-07_18:55:05,188.9721119403839,5.0,10.0,83.0,0.0,130.0
2024-07-07_18:55:16,199.41652393341064,5.0,10.0,115.0,0.0,130.0
2024-07-07_18:55:27,211.12905478477478,5.0,10.0,147.0,0.0,130.0
2024-07-07_18:55:40,223.40380477905273,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:55:50,234.08695006370544,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:56:01,244.63347244262695,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:56:12,255.70915699005127,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:56:23,266.6748433113098,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:56:34,277.62590765953064,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:56:45,288.66455459594727,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:56:56,299.49650740623474,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:57:07,310.4674427509308,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:57:18,321.3032262325287,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:57:29,332.3454694747925,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:57:40,343.2676639556885,0.0,0.0,0.0,0.0,0.0
2024-07-07_18:51:56,343.66576194763184,None,None,None,None,End of Test
