Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-07-07 15:48:48,30.8,1.789,0.998,0.999
2024-07-07 15:48:53,30.8,1.789,0.999,0.999
2024-07-07 15:48:57,30.8,1.789,0.998,0.998
2024-07-07 15:49:02,31.0,1.789,0.998,0.999
2024-07-07 15:49:06,30.8,1.789,0.999,0.999
2024-07-07 15:49:11,31.0,1.790,0.999,0.999
2024-07-07 15:49:15,31.0,1.790,0.999,0.999
2024-07-07 15:49:20,31.1,1.789,0.998,0.998
2024-07-07 15:49:24,31.0,1.789,0.999,0.999
2024-07-07 15:49:29,31.0,1.789,0.998,0.998
2024-07-07 15:49:33,31.0,1.789,0.999,0.998
2024-07-07 15:49:38,31.1,1.789,0.999,0.999
2024-07-07 15:49:42,31.3,1.790,1.000,0.999
2024-07-07 15:49:46,31.3,1.790,1.000,0.999
2024-07-07 15:49:51,31.4,1.789,0.999,0.998
2024-07-07 15:49:55,31.1,1.789,0.999,0.998
2024-07-07 15:50:00,31.3,1.789,0.999,0.998
2024-07-07 15:50:04,31.3,1.789,0.998,0.998
2024-07-07 15:50:09,31.5,1.790,1.000,0.999
2024-07-07 15:50:13,31.4,1.789,0.999,0.998
2024-07-07 15:50:18,31.5,1.790,1.000,1.000
2024-07-07 15:50:22,31.3,1.789,0.998,0.998
2024-07-07 15:50:26,31.4,1.790,1.000,0.999
2024-07-07 15:50:31,31.4,1.789,0.999,0.999
2024-07-07 15:50:35,31.4,1.789,0.999,0.998
2024-07-07 15:50:40,31.5,1.790,0.999,0.998
2024-07-07 15:50:44,31.4,1.789,0.999,0.998
2024-07-07 15:50:49,31.4,1.789,0.999,0.999
2024-07-07 15:50:53,31.5,1.789,0.998,0.998
2024-07-07 15:50:58,31.4,1.789,0.998,0.998
2024-07-07 15:51:02,31.6,1.789,0.999,1.000
2024-07-07 15:51:07,31.5,1.789,0.999,0.998
2024-07-07 15:51:11,31.5,1.789,0.998,0.998
2024-07-07 15:51:16,31.4,1.789,0.998,0.998
2024-07-07 15:51:20,31.5,1.789,0.998,0.998
2024-07-07 15:51:24,31.0,1.789,0.999,0.999
2024-07-07 15:51:29,31.1,1.789,0.998,0.999
2024-07-07 15:51:33,31.3,1.789,0.997,0.998
2024-07-07 15:51:38,31.4,1.789,0.998,0.998
2024-07-07 15:51:42,31.3,1.789,0.999,0.998
2024-07-07 15:51:47,31.5,1.789,0.998,0.998
2024-07-07 15:51:51,31.1,1.789,0.998,0.998
2024-07-07 15:51:55,31.1,1.788,0.999,0.999
2024-07-07 15:52:00,31.4,1.789,0.999,0.998
2024-07-07 15:52:04,31.4,1.789,0.998,0.998
2024-07-07 15:52:09,31.3,1.789,0.998,0.998
2024-07-07 15:52:13,31.1,1.789,0.998,0.998
2024-07-07 15:52:18,31.1,1.789,0.998,0.998
2024-07-07 15:52:22,31.5,1.789,0.998,0.998
2024-07-07 15:52:27,31.4,1.789,0.998,0.998
2024-07-07 15:52:31,31.5,1.789,0.998,0.998
2024-07-07 15:52:35,31.4,1.789,0.998,0.998
2024-07-07 15:52:40,31.4,1.789,0.998,0.998
2024-07-07 15:52:44,31.5,1.789,0.999,0.998
2024-07-07 15:52:49,31.3,1.789,0.998,0.998
2024-07-07 15:52:53,31.5,1.788,0.998,0.998
2024-07-07 15:52:58,31.4,1.789,0.998,0.998
2024-07-07 15:53:02,31.6,1.789,0.999,0.998
2024-07-07 15:53:06,31.4,1.789,0.998,0.998
2024-07-07 15:53:11,31.6,1.789,0.999,0.999
2024-07-07 15:53:15,31.4,1.789,0.998,0.998
2024-07-07 15:53:20,31.4,1.789,0.998,0.998
2024-07-07 15:53:24,31.5,1.789,0.999,0.999
2024-07-07 15:53:29,31.6,1.789,0.999,0.998
2024-07-07 15:53:33,31.7,1.790,0.999,0.999
2024-07-07 15:53:38,31.5,1.790,0.999,0.998
2024-07-07 15:53:42,31.6,1.789,0.999,0.998
2024-07-07 15:53:46,31.7,1.789,0.998,0.999
2024-07-07 15:53:51,31.5,1.789,0.998,0.998
2024-07-07 15:53:55,31.4,1.789,0.998,0.998
2024-07-07 15:54:00,31.6,1.789,0.998,0.998
2024-07-07 15:54:04,31.6,1.789,0.998,0.998
2024-07-07 15:54:09,31.6,1.789,0.999,0.998
2024-07-07 15:54:13,31.6,1.789,0.998,0.998
2024-07-07 15:54:18,31.6,1.789,0.998,0.998
2024-07-07 15:54:22,31.3,1.789,0.998,0.998
2024-07-07 15:54:26,31.6,1.789,0.998,0.998
2024-07-07 15:54:31,31.7,1.789,0.999,0.998
2024-07-07 15:54:35,31.7,1.789,0.998,0.998
2024-07-07 15:54:40,31.6,1.789,0.999,0.999
0,0,0,0,End of Test
