Times,Buffer,Window,Trigger,heartbeat,initialization,observation,correction,classification,injection,essential,uncorrectable 
2024-07-07 16:37:59,0,0,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,1,1,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,2,2,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,3,3,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,4,4,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,5,5,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,6,6,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,7,7,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,8,8,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,9,9,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,10,10,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,11,11,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,12,12,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,13,13,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,14,14,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,15,15,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,16,16,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,17,17,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,18,18,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,19,19,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,20,20,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,21,21,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,22,22,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,23,23,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,24,24,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,25,25,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,26,26,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,27,27,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,28,28,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,29,29,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,30,30,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,31,31,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,32,32,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,33,33,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,34,34,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,35,35,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,36,36,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,37,37,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,38,38,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,39,39,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,40,40,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,41,41,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,42,42,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,43,43,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,44,44,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,45,45,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,46,46,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,47,47,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,48,48,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,49,49,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,50,50,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,51,51,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,52,52,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,53,53,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,54,54,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,55,55,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,56,56,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,57,57,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,58,58,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,59,59,0,1,0,0,0,0,0,1,1
2024-07-07 16:37:59,60,60,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,61,61,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,62,62,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,63,63,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,64,64,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,65,65,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,66,66,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,67,67,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,68,68,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,69,69,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,70,70,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,71,71,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,72,72,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,73,73,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,74,74,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,75,75,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,76,76,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,77,77,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,78,78,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,79,79,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,80,80,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,81,81,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,82,82,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,83,83,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,84,84,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,85,85,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,86,86,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,87,87,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,88,88,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,89,89,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,90,90,0,0,0,0,0,0,0,1,1
2024-07-07 16:37:59,91,91,0,0,0,0,0,0,0,1,1
