Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-07-07 14:06:34,32.0,1.791,1.000,1.000
2024-07-07 14:06:38,31.9,1.790,1.000,1.000
2024-07-07 14:06:43,32.1,1.791,1.000,1.000
2024-07-07 14:06:47,32.1,1.791,1.000,1.000
2024-07-07 14:06:52,32.1,1.791,1.000,1.000
2024-07-07 14:06:56,32.0,1.791,1.000,1.000
2024-07-07 14:07:01,32.0,1.791,1.000,1.000
2024-07-07 14:07:05,32.2,1.792,1.000,1.000
2024-07-07 14:07:10,32.1,1.792,1.000,1.000
2024-07-07 14:07:14,32.0,1.792,1.000,1.000
2024-07-07 14:07:18,32.1,1.792,1.000,1.000
2024-07-07 14:07:23,32.1,1.791,1.000,1.000
2024-07-07 14:07:27,32.1,1.791,1.000,1.000
2024-07-07 14:07:32,32.0,1.792,1.000,1.000
2024-07-07 14:07:36,32.1,1.791,1.001,1.000
2024-07-07 14:07:41,32.1,1.791,1.000,1.000
2024-07-07 14:07:45,32.1,1.791,1.000,1.000
2024-07-07 14:07:49,32.1,1.792,1.000,1.000
2024-07-07 14:07:54,32.0,1.791,1.000,1.000
2024-07-07 14:07:58,32.4,1.792,1.000,1.000
2024-07-07 14:08:03,32.0,1.791,1.000,1.000
2024-07-07 14:08:07,32.0,1.791,1.000,1.000
2024-07-07 14:08:12,32.4,1.790,1.000,1.000
2024-07-07 14:08:16,32.2,1.792,1.001,1.000
2024-07-07 14:08:21,32.1,1.791,1.000,1.000
2024-07-07 14:08:25,32.1,1.792,1.000,1.000
2024-07-07 14:08:29,32.1,1.791,1.000,1.000
2024-07-07 14:08:34,32.1,1.791,1.000,1.000
2024-07-07 14:08:38,32.1,1.792,1.000,1.000
2024-07-07 14:08:43,32.2,1.791,1.000,1.000
2024-07-07 14:08:47,32.1,1.791,1.000,1.000
2024-07-07 14:08:52,32.2,1.791,1.000,1.000
2024-07-07 14:08:56,32.0,1.792,1.000,1.000
2024-07-07 14:09:00,32.2,1.791,1.000,1.000
2024-07-07 14:09:05,32.4,1.792,1.000,1.000
2024-07-07 14:09:09,32.1,1.792,1.001,1.000
2024-07-07 14:09:14,32.0,1.791,1.000,1.000
2024-07-07 14:09:18,32.0,1.792,1.000,1.000
2024-07-07 14:09:23,32.4,1.792,1.000,1.000
2024-07-07 14:09:27,32.1,1.790,1.000,0.999
2024-07-07 14:09:32,32.2,1.792,1.000,1.000
2024-07-07 14:09:36,32.2,1.791,1.000,1.001
2024-07-07 14:09:40,32.1,1.792,1.000,1.000
2024-07-07 14:09:45,32.1,1.791,1.000,1.000
2024-07-07 14:09:49,32.0,1.792,1.000,1.000
2024-07-07 14:09:54,32.1,1.791,1.000,1.000
2024-07-07 14:09:58,32.0,1.791,1.000,1.000
2024-07-07 14:10:03,32.0,1.792,1.000,1.000
2024-07-07 14:10:07,32.1,1.792,1.000,0.999
2024-07-07 14:10:12,32.2,1.791,1.000,1.000
2024-07-07 14:10:16,32.0,1.792,1.000,1.000
2024-07-07 14:10:20,32.1,1.792,1.000,1.001
2024-07-07 14:10:25,32.0,1.792,1.000,1.000
2024-07-07 14:10:29,32.2,1.792,1.000,1.000
2024-07-07 14:10:34,32.1,1.791,1.000,1.000
2024-07-07 14:10:38,32.0,1.791,1.000,1.000
2024-07-07 14:10:43,32.0,1.792,1.000,1.000
2024-07-07 14:10:47,32.1,1.792,1.000,1.000
2024-07-07 14:10:52,32.1,1.792,1.000,1.000
2024-07-07 14:10:56,32.1,1.791,1.000,1.000
2024-07-07 14:11:00,32.0,1.792,1.000,1.000
2024-07-07 14:11:05,32.1,1.792,1.001,1.000
2024-07-07 14:11:09,32.0,1.791,1.000,1.000
2024-07-07 14:11:14,32.2,1.792,1.000,1.000
2024-07-07 14:11:18,32.0,1.792,1.001,1.000
2024-07-07 14:11:23,31.9,1.791,1.000,1.000
