Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_14:01:16,9.370583057403564,30.0,130.0,232.0,0.0,84.0
2024-07-07_14:01:26,18.722947359085083,30.0,130.0,8.0,0.0,113.0
2024-07-07_14:01:35,28.158897399902344,30.0,130.0,40.0,0.0,146.0
2024-07-07_14:01:44,37.511165380477905,30.0,130.0,72.0,0.0,179.0
2024-07-07_14:01:54,46.87496638298035,30.0,130.0,103.0,0.0,208.0
2024-07-07_14:02:03,56.20525527000427,30.0,130.0,135.0,0.0,240.0
2024-07-07_14:02:13,65.62830233573914,30.0,130.0,167.0,0.0,21.0
2024-07-07_14:02:22,74.96750116348267,30.0,130.0,199.0,0.0,53.0
2024-07-07_14:02:31,84.39370560646057,30.0,130.0,231.0,0.0,85.0
2024-07-07_14:02:41,93.72035956382751,30.0,130.0,7.0,0.0,117.0
2024-07-07_14:02:50,103.1443030834198,30.0,130.0,39.0,0.0,149.0
2024-07-07_14:03:00,112.7469835281372,30.0,130.0,71.0,0.0,182.0
2024-07-07_14:03:10,123.04600286483765,30.0,130.0,103.0,0.0,214.0
2024-07-07_14:03:21,134.09358978271484,30.0,130.0,135.0,0.0,247.0
2024-07-07_14:03:30,143.44666194915771,30.0,130.0,166.0,0.0,24.0
2024-07-07_14:03:41,153.60857486724854,30.0,130.0,198.0,0.0,56.0
2024-07-07_14:03:51,163.71096205711365,30.0,130.0,232.0,0.0,88.0
2024-07-07_14:04:00,173.18128395080566,30.0,130.0,231.0,0.0,117.0
2024-07-07_14:04:10,182.91941809654236,30.0,130.0,6.0,0.0,147.0
2024-07-07_14:04:19,192.46210980415344,30.0,130.0,18.0,0.0,180.0
2024-07-07_14:04:29,201.96910691261292,30.0,130.0,49.0,0.0,210.0
2024-07-07_14:04:38,211.33413219451904,30.0,130.0,81.0,0.0,243.0
2024-07-07_14:04:48,220.82887077331543,30.0,130.0,113.0,0.0,19.0
2024-07-07_14:04:57,230.17994141578674,30.0,130.0,145.0,0.0,52.0
2024-07-07_14:05:07,239.61410284042358,30.0,130.0,176.0,0.0,88.0
2024-07-07_14:05:16,249.0954818725586,30.0,130.0,240.0,0.0,120.0
2024-07-07_14:05:26,258.5982413291931,30.0,130.0,16.0,0.0,152.0
2024-07-07_14:05:35,268.0845744609833,30.0,130.0,48.0,0.0,185.0
2024-07-07_14:05:44,277.5301637649536,30.0,130.0,80.0,0.0,218.0
2024-07-07_14:05:54,286.9422550201416,30.0,130.0,114.0,0.0,250.0
