Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_15:25:05,1789.70746,0,0,119,0,120
2024-07-07_15:25:15,1799.157514,0,0,151,0,152
2024-07-07_15:25:24,1808.765349,0,0,183,0,184
2024-07-07_15:25:34,1818.365132,0,0,215,0,216
2024-07-07_15:25:44,1827.87999,0,0,247,0,248
2024-07-07_15:25:53,1837.26677,0,0,23,0,24
2024-07-07_15:26:02,1846.763797,0,0,55,0,56
2024-07-07_15:26:12,1856.107372,0,0,87,0,88
2024-07-07_15:26:21,1865.589697,0,0,119,0,120
2024-07-07_15:26:30,1874.79546,0,0,151,0,152
2024-07-07_15:26:40,1884.317015,0,0,183,0,184
2024-07-07_15:26:50,1893.889836,0,0,215,0,216
2024-07-07_15:26:59,1903.38383,0,0,247,0,248
2024-07-07_15:27:08,1912.686112,0,0,23,0,24
2024-07-07_15:27:20,1924.54705,0,0,55,0,56
2024-07-07_15:27:31,1935.096302,55,239,62,0,88
2024-07-07_15:27:40,1944.642219,55,239,95,1,120
2024-07-07_15:27:50,1954.188696,55,239,127,1,152
2024-07-07_15:27:59,1963.69567,55,239,159,1,184
2024-07-07_15:28:09,1973.115009,55,239,191,1,216
2024-07-07_15:28:18,1982.510955,55,239,223,1,248
2024-07-07_15:28:28,1992.128021,55,239,255,1,24
2024-07-07_15:28:37,2001.718521,55,239,31,1,56
2024-07-07_15:28:47,2011.3182,55,239,62,1,88
2024-07-07_15:30:34,2117.924822,55,239,93,1,120
2024-07-07_15:32:38,2242.230042,55,239,55,1,152
2024-07-07_14:55:16,2305.01099,None,None,None,None,End of Test
