Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT
7/7/2024 15:48,30.8,1.789,0.998,0.999
7/7/2024 15:48,30.8,1.789,0.999,0.999
7/7/2024 15:48,30.8,1.789,0.998,0.998
7/7/2024 15:49,31,1.789,0.998,0.999
7/7/2024 15:49,30.8,1.789,0.999,0.999
7/7/2024 15:49,31,1.79,0.999,0.999
7/7/2024 15:49,31,1.79,0.999,0.999
7/7/2024 15:49,31.1,1.789,0.998,0.998
7/7/2024 15:49,31,1.789,0.999,0.999
7/7/2024 15:49,31,1.789,0.998,0.998
7/7/2024 15:49,31,1.789,0.999,0.998
7/7/2024 15:49,31.1,1.789,0.999,0.999
7/7/2024 15:49,31.3,1.79,1,0.999
7/7/2024 15:49,31.3,1.79,1,0.999
7/7/2024 15:49,31.4,1.789,0.999,0.998
7/7/2024 15:49,31.1,1.789,0.999,0.998
7/7/2024 15:50,31.3,1.789,0.999,0.998
7/7/2024 15:50,31.3,1.789,0.998,0.998
7/7/2024 15:50,31.5,1.79,1,0.999
7/7/2024 15:50,31.4,1.789,0.999,0.998
7/7/2024 15:50,31.5,1.79,1,1
7/7/2024 15:50,31.3,1.789,0.998,0.998
7/7/2024 15:50,31.4,1.79,1,0.999
7/7/2024 15:50,31.4,1.789,0.999,0.999
7/7/2024 15:50,31.4,1.789,0.999,0.998
7/7/2024 15:50,31.5,1.79,0.999,0.998
7/7/2024 15:50,31.4,1.789,0.999,0.998
7/7/2024 15:50,31.4,1.789,0.999,0.999
7/7/2024 15:50,31.5,1.789,0.998,0.998
7/7/2024 15:50,31.4,1.789,0.998,0.998
7/7/2024 15:51,31.6,1.789,0.999,1
7/7/2024 15:51,31.5,1.789,0.999,0.998
7/7/2024 15:51,31.5,1.789,0.998,0.998
7/7/2024 15:51,31.4,1.789,0.998,0.998
7/7/2024 15:51,31.5,1.789,0.998,0.998
7/7/2024 15:51,31,1.789,0.999,0.999
7/7/2024 15:51,31.1,1.789,0.998,0.999
7/7/2024 15:51,31.3,1.789,0.997,0.998
7/7/2024 15:51,31.4,1.789,0.998,0.998
7/7/2024 15:51,31.3,1.789,0.999,0.998
7/7/2024 15:51,31.5,1.789,0.998,0.998
7/7/2024 15:51,31.1,1.789,0.998,0.998
7/7/2024 15:51,31.1,1.788,0.999,0.999
7/7/2024 15:52,31.4,1.789,0.999,0.998
7/7/2024 15:52,31.4,1.789,0.998,0.998
7/7/2024 15:52,31.3,1.789,0.998,0.998
7/7/2024 15:52,31.1,1.789,0.998,0.998
7/7/2024 15:52,31.1,1.789,0.998,0.998
7/7/2024 15:52,31.5,1.789,0.998,0.998
7/7/2024 15:52,31.4,1.789,0.998,0.998
7/7/2024 15:52,31.5,1.789,0.998,0.998
7/7/2024 15:52,31.4,1.789,0.998,0.998
7/7/2024 15:52,31.4,1.789,0.998,0.998
7/7/2024 15:52,31.5,1.789,0.999,0.998
7/7/2024 15:52,31.3,1.789,0.998,0.998
7/7/2024 15:52,31.5,1.788,0.998,0.998
7/7/2024 15:52,31.4,1.789,0.998,0.998
7/7/2024 15:53,31.6,1.789,0.999,0.998
7/7/2024 15:53,31.4,1.789,0.998,0.998
7/7/2024 15:53,31.6,1.789,0.999,0.999
7/7/2024 15:53,31.4,1.789,0.998,0.998
7/7/2024 15:53,31.4,1.789,0.998,0.998
7/7/2024 15:53,31.5,1.789,0.999,0.999
7/7/2024 15:53,31.6,1.789,0.999,0.998
7/7/2024 15:53,31.7,1.79,0.999,0.999
7/7/2024 15:53,31.5,1.79,0.999,0.998
7/7/2024 15:53,31.6,1.789,0.999,0.998
7/7/2024 15:53,31.7,1.789,0.998,0.999
7/7/2024 15:53,31.5,1.789,0.998,0.998
7/7/2024 15:53,31.4,1.789,0.998,0.998
7/7/2024 15:54,31.6,1.789,0.998,0.998
7/7/2024 15:54,31.6,1.789,0.998,0.998
7/7/2024 15:54,31.6,1.789,0.999,0.998
7/7/2024 15:54,31.6,1.789,0.998,0.998
7/7/2024 15:54,31.6,1.789,0.998,0.998
7/7/2024 15:54,31.3,1.789,0.998,0.998
7/7/2024 15:54,31.6,1.789,0.998,0.998
7/7/2024 15:54,31.7,1.789,0.999,0.998
7/7/2024 15:54,31.7,1.789,0.998,0.998
7/7/2024 15:54,31.6,1.789,0.999,0.999
0,0,0,0,End of Test
