Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
7/7/2024 16:05,32.2,1.79,0.999,0.999
7/7/2024 16:05,32.2,1.789,0.998,0.998
7/7/2024 16:05,32.4,1.789,0.999,0.998
7/7/2024 16:05,32.2,1.789,0.999,0.998
7/7/2024 16:05,32.4,1.789,0.998,0.998
7/7/2024 16:05,32.2,1.789,0.999,0.998
7/7/2024 16:05,32.5,1.789,0.998,0.999
7/7/2024 16:05,32.2,1.789,0.998,0.998
7/7/2024 16:05,32.2,1.789,0.998,0.998
7/7/2024 16:05,32.1,1.789,0.998,0.999
7/7/2024 16:05,32.2,1.789,0.998,0.998
7/7/2024 16:05,32.1,1.789,0.998,0.999
7/7/2024 16:05,32.1,1.789,0.998,0.998
7/7/2024 16:06,32.2,1.789,0.998,0.998
7/7/2024 16:06,32.2,1.789,0.999,0.999
7/7/2024 16:06,32.1,1.789,1,0.999
7/7/2024 16:06,32.1,1.789,0.998,0.998
7/7/2024 16:06,32.1,1.789,0.998,0.998
7/7/2024 16:06,32.2,1.789,0.998,0.998
7/7/2024 16:06,32.2,1.789,0.999,0.999
7/7/2024 16:06,32.1,1.789,0.998,0.998
7/7/2024 16:06,32.4,1.789,0.999,0.999
7/7/2024 16:06,32.1,1.789,0.998,0.998
7/7/2024 16:06,32.2,1.79,0.999,0.998
7/7/2024 16:06,32.2,1.789,0.998,0.998
7/7/2024 16:06,32.2,1.789,0.998,0.998
7/7/2024 16:06,32.1,1.789,0.999,0.999
7/7/2024 16:07,32.1,1.789,0.998,0.999
7/7/2024 16:07,32.1,1.789,0.998,0.998
7/7/2024 16:07,32,1.789,0.999,0.998
7/7/2024 16:07,32,1.789,0.999,0.998
7/7/2024 16:07,32.1,1.789,0.999,0.999
7/7/2024 16:07,32.1,1.789,0.998,0.998
7/7/2024 16:07,32,1.789,0.998,0.998
7/7/2024 16:07,32,1.789,0.998,0.998
7/7/2024 16:07,32.1,1.789,0.999,0.998
7/7/2024 16:07,32.1,1.789,0.998,0.998
7/7/2024 16:07,32,1.789,0.998,0.998
7/7/2024 16:07,32.2,1.789,0.999,0.998
7/7/2024 16:07,32.1,1.789,0.999,0.999
7/7/2024 16:08,32.1,1.789,0.998,0.998
7/7/2024 16:08,32.2,1.789,0.999,0.999
7/7/2024 16:08,32,1.789,0.998,0.998
7/7/2024 16:08,32.1,1.789,0.998,0.998
7/7/2024 16:08,32.2,1.789,0.998,0.998
7/7/2024 16:08,32.1,1.789,0.998,0.999
7/7/2024 16:08,32.1,1.789,0.998,0.998
7/7/2024 16:08,32,1.789,0.998,0.999
7/7/2024 16:08,31.9,1.789,0.998,0.998
7/7/2024 16:08,32,1.789,0.998,0.998
7/7/2024 16:08,32.1,1.789,0.999,0.998
