Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-02-08_15:30:56,9.113873958587646,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:31:06,18.72907781600952,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:31:16,28.346878051757812,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:31:25,37.96221613883972,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:31:35,47.57704019546509,0.0,0.0,0.0,0.0,5.0
2024-02-08_15:31:45,57.19347596168518,0.0,0.0,0.0,0.0,0.0
2024-02-08_15:31:54,66.80917620658875,0.0,0.0,0.0,0.0,0.0
2024-02-08_15:32:04,76.42404532432556,0.0,0.0,0.0,0.0,0.0
2024-02-08_15:32:13,86.03969669342041,0.0,0.0,0.0,0.0,0.0
2024-02-08_15:32:23,95.65577507019043,0.0,0.0,0.0,0.0,0.0
2024-02-08_15:32:33,105.27188968658447,0.0,0.0,0.0,0.0,0.0
2024-02-08_15:32:42,114.88787579536438,0.0,0.0,0.0,0.0,0.0
2024-02-08_15:32:52,124.50320219993591,0.0,0.0,0.0,0.0,0.0
