Times,elabsed_time,test_tx,bus_id,nodeId,adc_ch,index,sub_index,adc_data,adc_data_converted,reqmsg,requestreg,respmsg,responsereg,status
2024-03-16_11:54:36,0.3066534996032715,1,0,0,3,0x2400,1,None,None,1,0x600402400010000000000000,0,None,0
2024-03-16_11:54:36,0.6118636131286621,1,0,0,4,0x2400,2,None,None,1,0x600402400020000000000000,0,None,0
2024-03-16_11:54:37,0.9158589839935303,1,0,0,5,0x2400,3,None,None,1,0x600402400030000000000000,0,None,0
2024-03-16_11:54:37,1.2231380939483643,1,0,0,6,0x2400,4,None,None,1,0x600402400040000000000000,0,None,0
2024-03-16_11:54:37,1.5271596908569336,1,0,0,7,0x2400,5,None,None,1,0x600402400050000000000000,0,None,0
2024-03-16_11:54:37,1.833186149597168,1,0,0,8,0x2400,6,None,None,1,0x600402400060000000000000,0,None,0
2024-03-16_11:54:38,2.1385390758514404,1,0,0,9,0x2400,7,None,None,1,0x600402400070000000000000,0,None,0
2024-03-16_11:54:38,2.444890022277832,1,0,0,10,0x2400,8,None,None,1,0x600402400080000000000000,0,None,0
2024-03-16_11:54:38,2.749570369720459,1,0,0,11,0x2400,9,None,None,1,0x600402400090000000000000,0,None,0
2024-03-16_11:54:39,3.0549235343933105,1,0,0,12,0x2400,10,None,None,1,0x6004024000a0000000000000,0,None,0
2024-03-16_11:54:39,3.360707998275757,1,0,0,13,0x2400,11,None,None,1,0x6004024000b0000000000000,0,None,0
2024-03-16_11:54:39,3.665761947631836,1,0,0,14,0x2400,12,None,None,1,0x6004024000c0000000000000,0,None,0
2024-03-16_11:54:40,3.9708504676818848,1,0,0,15,0x2400,13,None,None,1,0x6004024000d0000000000000,0,None,0
2024-03-16_11:54:40,4.276047945022583,1,0,0,16,0x2400,14,None,None,1,0x6004024000e0000000000000,0,None,0
2024-03-16_11:54:40,4.583331346511841,1,0,0,17,0x2400,15,None,None,1,0x6004024000f0000000000000,0,None,0
2024-03-16_11:54:41,4.8876073360443115,1,0,0,18,0x2400,16,None,None,1,0x600402400100000000000000,0,None,0
2024-03-16_11:54:41,5.193748474121094,1,0,0,19,0x2400,17,None,None,1,0x600402400110000000000000,0,None,0
2024-03-16_11:54:41,5.498483657836914,1,0,0,20,0x2400,18,None,None,1,0x600402400120000000000000,0,None,0
2024-03-16_11:54:41,5.8049092292785645,1,0,0,21,0x2400,19,None,None,1,0x600402400130000000000000,0,None,0
2024-03-16_11:54:42,6.10979437828064,1,0,0,22,0x2400,20,None,None,1,0x600402400140000000000000,0,None,0
2024-03-16_11:54:42,6.414604425430298,1,0,0,23,0x2400,21,None,None,1,0x600402400150000000000000,0,None,0
