Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-06-12 13:15:04,50.2,1.863,1.041,1.042
2024-06-12 13:15:08,50.3,1.863,1.041,1.040
2024-06-12 13:15:11,50.2,1.863,1.041,1.041
2024-06-12 13:15:14,50.1,1.863,1.041,1.040
2024-06-12 13:15:18,50.3,1.863,1.041,1.040
2024-06-12 13:15:21,50.3,1.863,1.042,1.041
2024-06-12 13:15:24,50.3,1.863,1.041,1.041
2024-06-12 13:15:28,50.3,1.863,1.041,1.041
2024-06-12 13:15:31,50.3,1.863,1.041,1.041
2024-06-12 13:15:34,50.2,1.863,1.041,1.042
2024-06-12 13:15:38,50.3,1.863,1.042,1.041
2024-06-12 13:15:41,50.3,1.863,1.041,1.041
2024-06-12 13:15:44,50.3,1.863,1.041,1.041
2024-06-12 13:15:48,50.2,1.863,1.042,1.040
2024-06-12 13:15:51,50.1,1.862,1.040,1.040
2024-06-12 13:15:54,50.2,1.863,1.041,1.041
2024-06-12 13:15:58,50.2,1.863,1.040,1.040
2024-06-12 13:16:01,50.4,1.863,1.042,1.040
2024-06-12 13:16:05,50.2,1.863,1.040,1.040
2024-06-12 13:16:08,50.4,1.863,1.041,1.041
2024-06-12 13:16:11,50.2,1.863,1.040,1.041
2024-06-12 13:16:15,50.2,1.862,1.040,1.041
2024-06-12 13:16:18,50.1,1.862,1.041,1.040
2024-06-12 13:16:21,50.4,1.863,1.042,1.041
2024-06-12 13:16:25,50.0,1.863,1.041,1.040
2024-06-12 13:16:28,50.3,1.863,1.041,1.042
2024-06-12 13:16:31,50.2,1.862,1.041,1.041
2024-06-12 13:16:35,50.2,1.863,1.041,1.040
2024-06-12 13:16:38,50.2,1.862,1.040,1.041
2024-06-12 13:16:41,50.2,1.862,1.040,1.040
2024-06-12 13:16:45,50.3,1.863,1.041,1.040
2024-06-12 13:16:48,50.2,1.862,1.040,1.040
2024-06-12 13:16:51,50.3,1.863,1.041,1.041
2024-06-12 13:16:55,50.1,1.863,1.041,1.041
2024-06-12 13:16:58,50.3,1.863,1.040,1.041
2024-06-12 13:17:02,50.2,1.863,1.040,1.040
2024-06-12 13:17:05,50.2,1.862,1.041,1.040
2024-06-12 13:17:08,50.2,1.862,1.041,1.041
2024-06-12 13:17:12,50.1,1.862,1.041,1.040
2024-06-12 13:17:15,50.2,1.862,1.040,1.041
2024-06-12 13:17:18,50.3,1.863,1.041,1.040
2024-06-12 13:17:22,50.2,1.863,1.041,1.040
2024-06-12 13:17:25,50.0,1.862,1.040,1.040
2024-06-12 13:17:28,50.2,1.863,1.041,1.040
2024-06-12 13:17:32,50.4,1.863,1.041,1.041
2024-06-12 13:17:35,50.3,1.863,1.041,1.041
2024-06-12 13:17:38,50.1,1.862,1.041,1.040
2024-06-12 13:17:42,50.2,1.863,1.042,1.041
2024-06-12 13:17:45,50.1,1.863,1.041,1.041
2024-06-12 13:17:49,50.2,1.862,1.041,1.040
2024-06-12 13:17:52,50.1,1.863,1.041,1.041
2024-06-12 13:17:55,50.2,1.863,1.040,1.041
2024-06-12 13:17:59,50.0,1.863,1.040,1.040
2024-06-12 13:18:02,50.2,1.863,1.041,1.041
2024-06-12 13:18:05,50.2,1.863,1.042,1.041
2024-06-12 13:18:09,50.2,1.863,1.042,1.041
2024-06-12 13:18:12,50.2,1.863,1.040,1.041
2024-06-12 13:18:15,50.1,1.863,1.040,1.041
2024-06-12 13:18:19,50.4,1.863,1.042,1.041
2024-06-12 13:18:22,50.3,1.863,1.041,1.041
2024-06-12 13:18:25,50.1,1.862,1.041,1.040
2024-06-12 13:18:29,50.3,1.863,1.040,1.041
2024-06-12 13:18:32,50.1,1.863,1.041,1.041
2024-06-12 13:18:35,50.3,1.863,1.040,1.040
2024-06-12 13:18:39,50.2,1.862,1.041,1.041
2024-06-12 13:18:42,50.4,1.863,1.041,1.041
0,0,0,0,End of Test
